punkah پنکھا
roc رُخ
roll فرد
roll دفتر
roof چھانا
room سمائی
root مُول
root اصل
rope ریسمان
rotten بوسیدہ
round گول
roundness گولائی
row قطار
ruddiness لالی
rue پچھتانا
rumour افواہ
runaway بھگوڑا
rupture پھٹنا
rural دیہاتی
rural دیہی
rusk پاپا
rustic دیہی
sacrifice بلیدان
sad رنجیدہ
sadness افسردگی
saffron زعفران
sagacious ذہین
sage دانا
sale فروخت
salinity کلّر
salinity تھور
salt لون
salt شور
saltish نمکین
saltness نمکینی
salutation تسلیم
salute سلام
salvation نجات
sanctification تطہیر
sanction منظوری
sand ریگ
sand ریت
sandpiper ٹٹیری
sarangi سارنگی
sarcasm طنز
satiety سیری
satire ہجو
satirical طنّاز
satisfaction طمانیت
satisfaction تسکین
saturday شنبہ
saturday ہفتہ
saturday سنیچر
saunter ٹہلنا
savage جنگلی
save بجز
save مگر
saw مثل
sawyer آراکش
saying مثل
scanty تھوڑا
scar داغ
scarce کمیاب
scarcity کمی
scare ڈرانا
scene منظر
scene نظارہ
scenery منظر
schedule جدول
scholarship وظیفہ
scoff طعن
scold ڈانٹنا
scrap پارہ
scratch خراش
screen آڑ
scrotum صفن
scrotum فوطہ
scum جھاگ
scum پھین
sea بحر
sea سمندر
search تلاش
seat آسن
second ثانوی
secondary ثانوی
secret پوشیدہ
secret راز
secularism لادینیت
secure محفوظ
sediment رُسوب
sediment گاد
seeker جویا
seer سیر
seize ہتھیانا
self نفس
self آپ
self آپا
seminal منوی
senna سنا
sensation سنسنی
sensible معقول
sentiment جذبہ
sentimental جذباتی
sentry سنتری
separate جداگانہ
separate الگ
serious متین
serious سنجیدہ
seriousness متانت
seriousness سنجیدگی
sermon وعظ
set رکھنا
set جمانا
seventeenth سترھواں
seventh ساتواں
several کئی
several چند
severe شدید
severe سخت
shade سایہ
shaggy جھبرا
shake کپکپانا
shallow اُتھلا
shallow سطحی
shame ندامت
shame شرم
shape بنانا
sharp تیز
sharp ذکی
shawl شال
sheen چمک
sheep بھیڑ
shell خول
shell قشر
shelter پناہ
shepherd چرواہا
shepherd گڈریا
shield بچانا
shine چمک
shine چمکنا
shine تابانی
shirt قمیص
shiver کانپنا
shiver کپکپانا
shortage توڑا
shortcoming کوتاہی
shortfall کمی
shoulder دوش
shove دھکیلنا
show کھیل
show تماشا
showy بھڑکیلا
shrink دبکنا
side طرف
sift چھاننا
sight تماشا
sight نظر
significant اہم
signify بتانا
silence خاموشی
silent خاموش
silk ریشم
silky ریشمی
silver چاندی
simile تشبیہہ
simple سہل
simple سادہ
simple نادان
simplicity سادگی
sin پاپ
sinless معصوم
sincere سچّا
sinew وتر
sing گانا
singer گلوکار
single ایک
single تنہا
sister خواہر
sister بہن
sisterly خواہرانہ
six چھکّا
sixteenth سولھواں
sixth چھٹا
sixtieth ساٹھواں
sketch خاکہ
skin کھال
skin پوست
skull سر
slack آہستہ
slave بندہ
sleep آرام
slipperiness رپٹن
slogan نعرہ
slow مندا
sly چالاک
sly مکّار
sly عیّار
small چھوٹا
small ادنیٰ
small خفیف
smallness چھوٹائی
smallpox چیچک
smell شمیم
smooth ہموار
smoothness صفائی
sneer طعن
sober سنجیدہ
society سماج
soft ہلکا
soft نرم
soldier لشکری
solemn سنجیدہ
solemnity وقار
solid سخت
solid ٹھوس
solid مضبوط
solitary اکیلا
some کوئی
son بیٹا
son-in-law داماد
sorrow رنج
sound آواز
soup یخنی
sour کھٹّا
spacious وسیع
spark پتنگا
spear برچھا
spear بلّم
specimen نمونہ
speck بُندکی
spectacle تماشا
spectator تماشائی
speech تقریر
spell افسوں
spell منتر
spendthrift خرّاچ
sphericity گولائی
spirit دم
spleen تِلّی
splendour جلال
spokesperson ترجمان
spring چھلانگ
spur ایڑ
spur مہمیز
spurious نقلی
squabble جھگڑا
square چوکور
staff ڈنڈا
staff عصا
stain دھبّا
stain داغ
stamina سکت
stammer ہکلانا
stammerer ہکلا
star نجم
star تارا
stare تاکنا
state حالت
state دبدبہ
stature قد
status مرتبہ
status درجہ
stench بدبو
sterile بانجھ
still تاہم
stingy خسیس
stingy کنجوس
stink بدبو
stir ہلچل
stone سنگ
stop تھامنا
stop ٹھہرنا
store ذخیرہ
storehouse بھنڈار
story کہانی
straight راست
strainer چھلنی
strange عجیب
stranger اجنبی
streak دھاری
strength زور
stretch تننا
strictness سختی
stroke چوٹ
stroke ضرب
stroke وار
stroll ٹہلنا
strong مضبوط
strop چموٹا
stubborn ہٹیلا
stubbornness اکڑ
stubbornness ہٹ
study پڑھائی
stupid احمق
stupid ٹھس
stupidity حماقت
style انداز
style وضع
subjection محکومی
substance ذات
subtle نازک
subtlety لطافت
subtraction تفریق
successful کامران
successful کامیاب
succession جانشینی
succulent رسیلا
sudra شُودر
sufficient کافی
sugar شکر
suggestion تجویز
sultanate سلطنت
sunlight دُھوپ
superficial اُتھلا
superficial اُوپری
superficial سطحی
superficial اوچھا
supple لچکیلا
suppleness لچک
sure یقینی
suspicion شک
swallow ابابیل
swan ہنس
sweat پسینہ
swell اُبھار
swiftness تیزی
swoon غشی
sword تلوار
symbol رمز
symbol علامت
symbolic علامتی
symbolism رمزیت
symmetry تشاکُل
sympathetic ہمدرد
synagogue کنیسہ
synthesis ترکیب
tabla طبلہ
taboo ممنوع
tactic چال
tactic تدبیر
tail دُم
tailor درزی
tale کہانی
talisman تعویذ
tall لمبا
tanner دبّاغ
tantalize ترسانا
tap نل
tapeworm کیچوا
target ہدف
taste مزا
taste چکھنا
taunt طعنہ
tax کر
tax محصول
teak ساگوان
technique تکنیک
tell کہنا
tempest آندھی
tempt ورغلانا
temptation تحریص
tender نازک
tenth دسواں
terror دہشت
test آزمائش
test جانچنا
testicle فوطہ
testimony شہادت
texture بُناوٹ
thankful ممنون
theft چوری
theoretical نظری
there وہاں
therefore لہٰذا
they وہ
thick دبیز
thicket جھاڑی
thickness موٹائی
thickness دبازت
thief چور
thin دُبلا
thin رقیق
thin نحیف
thin لطیف
thin پتلا
thirst پیاس
thirsty پیاسا
thirteenth تیرھواں
thorn خار
thorn کانٹا
though اگرچہ
thought خیال
thousand ہزار
thread ڈوری
threat دھمکی
threaten دھمکانا
threshold دہلیز
thrill سنسنی
throb لرزنا
throw پھینکنا
thug ٹھگ
thunder گرجنا
thunder گرج
thunder رعد
tight کسا
tight تنگ
time عہد
time زمان
timid بزدل
timidity بزدلی
tinner ٹھٹھیرا
tiny ٹینی
tip نوک
tip بخشش
tire تھکنا
tiredness تھکن
tiredness تکان
tissue نسیج
tithe عُشر
toast توس
today آج
together باہم
tolerance برداشت
tolerance رواداری
tomb قبر
tomb مقبرہ
tomorrow فردا
tooth دانت
tortoise کچھوا
touch لمس
tracing چربہ
tracker کھوجی
traducer بدگو
tranquillity شانتی
transitory وقتی
transmigration آواگون
transmission ترسیل
transparent شفّاف
trap جال
treacherous غدّار
tree پیڑ
tremble لرزنا
tremble کپکپی
tremble کپکپانا
tremulous لرزاں
trench کھائی
trial آزمائش
trial جانچ
tribe قبیلہ
trivial ادنیٰ
trouble پریشانی
trouble خرابی
trouble زحمت
true سچّا
trumpet قرنا
trust وقف
trustee امین
truth صداقت
truth سچّائی
truthful سچّا
tube نالی
tuesday منگل
tumult ہنگامہ
tune آہنگ
tune سُر
turban صافہ
turban پگڑی
turbid گدلا
turmeric ہلدی
turmoil ہنگامہ
turtle کچھوا
twist بل
udder تھن
udder باکھ
ugly بدنما
ultramarine لاجوردی
umbrella چھتری
umbrella چھاتا
unbreakable اٹوٹ
uncleanliness ناپاکی
uncommon انوکھا
under زیر
under تلے
undergo جھیلنا
unguent مرہم
uniformity یکسانیت
unique انیق
unique یکتا
unique یگانہ
unity ایکا
unity وحدت
universal آفاقی
universal عمیم
universality آفاقیت
universalization تعمیم
unknown مجہول
unlawful حرام
unoccupied خالی
unreal خیالی
unsaid ناگفتہ
unserviceable ناکارہ
unsuccessful ناکام
unsuitable ناموزوں
unwittingness نادانستگی
upper بالائی
urban مدنی
urban شہری
urine شاش
urine پیشاب
usurpation غصب
utensil برتن
utter کہنا
uvula لہات
vacancy خلا
vacant خالی
vacuum خلا
vagabond آوارہ
vagina فرج
vagrant آوارہ
vale وادی
valiant بہادر
value بدل
value دام
value ارز
vedanta ویدانت
vegetal نباتی
vehicle گاڑی
vehicle سواری
veil نقاب
velocity رفتار
velvet مخمل
velvety مخملی
vendor بائع
veracity صداقت
veranda برآمدہ
verbose لفّاظ
verbosity لفّاظی
verdure شادابی
verification تصدیق
verily واقعی
vertebrate فقاریہ
vertex راس
vertical کھڑا
vestal پاکیزہ
vestment پوشاک
vexation کوفت
via براہ
victory فتح
view نظر
vigilance خبرداری
vigour دم
vile نابکار
village دیہہ
villager دیہاتی
virgin دوشیزہ
virginity بکارت
virginity دوشیزگی
virtue وصف
virtuous نیک
vision نظر
visionary خیالی
visual بصری
visual نظری
vitamin حیاتین
vizier وزیر
vocabulary فرہنگ
vocabulary لفظیات
void خالی
voluminous ضخیم
vomit اُلٹی
vortex ورطہ
vote رائے
vow عہد
vow قسم
vulva فرج
wag مسخرہ
wagtail ممولا
waistcoat واسکٹ
wallet زنبیل
wanderer آوارہ
warble چہکار
warlike جنگی
warm گرم
warmth حرارت
wash دھونا
water آب
waterfall آبشار
wave لہر
way راستہ
way طریقہ
weak کمزور
weak نحیف
weak ناتواں
weak پتلا
weak ماڑا
weakness ناتوانی
weakness لاغری
weal بدّھی
wear پہننا
weary ماندہ
weariness تھکاوٹ
weariness ماندگی
weasel نیولا
wedding بیاہ
wedge پچر
weep رونا
weevil سُرسُری
weigh تولنا
weighbridge کانٹا
weight وزن
weight بوجھ
weighty بھاری
weighty وزنی
weird عجیب
well-known معروف
wheaten گندمی
wheel چکّر
when جب
where جہاں
whether آیا
whetstone سان
whip کوڑا
whirlpool بھنور
whisper سرگوشی
white اُجلا
white سفید
whiteness سفیدی
whitewash سفیدی
who جو
whole سارا
wholly سراسر
whore گشتی
whore کسبی
whore رنڈی
whorehouse چکلا
wicked خبیث
wicked شریر
wickedness بدی
wide چکلا
widow بیوہ
widower رنڈوا
wife بیگم
wild جنگلی
wild وحشی
wile مکر
willing آمادہ
willing راضی
willingness آمادگی
will-o'-the-wisp چھلاوا
windy بادی
winter جاڑا
wisdom ہوشیاری
wisdom دانش
wisdom دانائی
wise فہیم
wit ظرافت
wit ذکاوت
witchcraft جادوگری
with سے
within اندر
without بغیر
witness گواہ
witness شہادت
woman زن
womb دھرن
woodland جنگل
word لفظ
word شبد
work دھندا
work کام
work شغل
workable کردنی
worker کامی
worker کارکن
workplace دفتر
workshop کارخانہ
worldliness دنیاداری
worry تشویش
worthy لائق
wound زخم
wrath قہر
wrestler پہلوان
wrist کلائی
writer نویسندہ
writer ادیب
writhe تڑپنا
writing تحریر
wrong نادرست
wrong غلط
wrongdoing خطا
x-ray لاشعاع
yearly سالانہ
yeast خمیر
yellow زرد
yes ہاں
yet تاہم
yob لفنگا
yogurt دہی
you آپ
zinc جست
