a ایک
confusion افراتفری
connection میل
connection واسطہ
conqueror فاتح
conscience ضمیر
consecration تقدیس
consent رضا
considerable خاصا
constitutional آئینی
construction تعمیر
contradiction تردید
contradiction تضاد
contrive بنانا
controversy تنازعہ
conundrum پہیلی
convene منعقدکرنا
convenience آرام
convey پہنچانا
convoluted پیچاں
cook باورچی
coolness ٹھنڈک
copious کثیر
copper تانبا
copra کھوپرا
copy چربہ
copy نقل
corbel مورنی
cork کاگ
corner کونا
cornice کنگنی
corpulent فربہ
correct صحیح
corroboration تائید
corroboration تصدیق
cost دام
costly مہنگا
cotton پنبہ
cough کھانسی
counterpart جواب
country دیس
courtesan طوائف
courtier درباری
covetous لوبھی
covetous لالچی
coward بزدل
cowardice بزدلی
cowardly بزدلانہ
crack چٹاخا
crack دراڑ
cracked چٹخا
crafty عیّار
craftiness عیّاری
craftiness چالاکی
cramp اکڑن
cranium کھوپڑی
crawl رینگنا
creation تخلیق
crime پاپ
crook بل
crooked ٹیڑھا
crookedness ٹیڑھ
crop فصل
crowbar سبّل
crowd انبوہ
crown تاج
cry رونا
cudgel سونٹا
cultivation کاشت
cum بشمول
cure دوا
curious انوکھا
curious عجیب
curricular درسی
curse دُشنام
curse بددعا
curse وبال
cursed لعنتی
cursory سرسری
curtain پردہ
curvature گولائی
cushion گدیلا
custom رسم
custom چلن
cut تراشنا
cymbal جھانجھ
cypress سرو
dal دال
damage ضرر
damp نم
dampness نمی
damsel دوشیزہ
dance رقص
dance ناچنا
dangerous خطرناک
darkness تاریکی
darling پیارا
daub تھوپنا
daughter بیٹی
day روز
dead ٹھنڈا
dear پیارا
dearth کمی
debate بحث
debt قرض
debt دین
decade دہائی
deceit دھوکا
declivity ڈھلان
decorate سجانا
decoration آرائش
decorative آرائشی
decorum ادب
decrease گھٹانا
deep گہرا
deepness گہرائی
defeat ہرانا
defect کوتاہی
defender حامی
deficiency کمی
deficient ناتمام
deficit خسارہ
definitely قطعاً
definitely یقیناً
definitely ضرور
degradation تذلیل
dejection افسردگی
delay تعویق
delay تاخیر
delay دیر
deliberately قصداً
delicate ہلکا
delicious لذیذ
delighted شادمان
delighted مسرور
delirious ہذیانی
delusion وہم
delve کھودنا
demise وفات
democracy جمہوریت
democratic جمہوری
dense کثیف
dense گھنا
density کثافت
departure روانگی
depreciation گھٹاؤ
derivation اخذ
desert صحرا
desert ریگستان
desert چھوڑنا
desert بادیہ
design مقصد
design منصوبہ
design مقصود
desire درخواست
desire خواہش
despondent مایوس
destiny تقدیر
destroy ڈھانا
deterioration ابتری
determinism جبریت
detriment ضرر
deviate بھٹکنا
devise بنانا
devolvement تفویض
dew شبنم
dew اوس
dewlap غبغب
dewy شبنمی
diagonal وتر
diamond الماس
dictionary قاموس
dictionary فرہنگ
difference فرق
difficulty دُشواری
dig کھودنا
digestion ہاضمہ
digit عدد
dignity قدر
dilapidated خستہ
diligence تندہی
diligent سرگرم
dim ماند
dim دُھندلا
dimness دُھندلاہٹ
diminution تخفیف
dirty گندا
dirty ناپاک
discernment بصیرت
discharge چھوڑنا
discharge برطرفی
disciple چیلا
disclose بتانا
discretion صوابدید
discussion بحث
disease روگ
disease مرض
diseased مریض
disgrace خواری
disgrace رُسوائی
disgrace بدنامی
disguise سوانگ
dish رکابی
dismissal برخاستگی
disobedient نافرمان
disorganization ابتری
dispatch روانگی
displeasure خفگی
disposition طبیعت
disreputable بدنام
dissolution تحلیل
distance دُوری
distant دُور
distant بعید
distinction فرق
distributor قاسم
ditch کھائی
ditch خندق
dive غوطہ
diversion تفریح
do کرنا
down پست
downright صاف
doze اُونگھنا
draff تلچھٹ
drain نالی
drama تمثیل
drama ناٹک
dread دہشت
dry رُوکھا
dry سُوکھا
due حق
dullard غبی
dunce غبی
duplicate نقل
durable دیرپا
during اثنا
dusky اندھیرا
duty محصول
dwell بسنا
dwelling مکان
earnest سرگرم
earthquake زلزلہ
easily بآسانی
easy سہل
easy آسان
ebb بھاٹا
ebullience جوش
ecstasy وجد
eddy بھنور
edifice عمارت
eel بام
effort کوشش
ego انا
elastic لچکیلا
elasticity لچک
electrical برقی
electromagnetic برقناطیسی
electron برقیہ
elegant لطیف
elevation بلندی
eleven گیارہ
eleventh گیارھواں
eloquence فصاحت
embezzlement غبن
embroidery کڑھائی
emissary ایلچی
emotional جذباتی
emperor شہنشاہ
employer آقا
employee اجیر
employment روزگار
empty خالی
empty تہی
empty سُونا
empty کھوکھلا
encumbrance بار
endowment عطا
enemy غنیم
energy توانائی
enforcement نفاذ
engaged مشغول
english انگریزی
enhancement افزونی
enough بس
ensign پرچم
entertainment تفریح
entertainment تماشا
entire کُل
entrance دروازہ
envy حسد
epic رزمیہ
epidemic وبائی
epilepsy صرع
epistle خط
equable ہموار
equal ہمسر
equal یکساں
erroneous غلط
erroneously سہواً
eructation ڈکار
escapism فراریت
essence ست
estimate اندازہ
estimate تخمینہ
eternity دوام
ethics اخلاقیات
eulogy قصیدہ
eunuch نامرد
evaporation تبخیر
even ہموار
evening شام
event واقعہ
ever کبھی
ever سدا
ever ہمیشہ
everlasting دوام
everlasting دائمی
evidence گواہی
evil بدی
ewe بھیڑ
ewe میش
exact صحیح
examination جانچ
except بجز
excite چھیڑنا
excuse معذرت
exegesis تشریح
exertion جہد
expenditure لاگت
expenditure صرف
expensive مہنگا
experimentalism تجربیت
expertise مہارت
explain سمجھانا
explanation وضاحت
explosion دھماکا
exquisite نفیس
extempore برجستہ
extend بڑھانا
extensive وسیع
external بیرونی
extinct معدوم
extract ست
extraction اخذ
extraction کشید
extremist غالی
fabricate بنانا
fabulous افسانوی
face رُو
face رُخ
face شکل
facetious ہنسوڑ
facilitation تسہیل
facility آسانی
faction دھڑا
failure ناکامی
fairy پری
faith دھرم
faith یقین
fakir فقیر
falconer بازدار
fall زوال
false نادرست
false غلط
false نقلی
fame ناموری
famine کال
famous نامور
fanciful وہمی
farrago ملغوبہ
fascinated مسحور
fastening بند
fat موٹا
fat چربی
fat فربہ
fatigue تھکن
fatigue تھکانا
fatimid فاطمی
fault خطا
fault خامی
favour پاسداری
favourite پسندیدہ
fear دھڑکا
fear خطرہ
feign بننا
fellowship وظیفہ
female زنانہ
feminine زنانہ
fence باڑ
fencer تلوریا
ferocious وحشی
few کم
fictitious فرضی
fictitious خیالی
fictitious نقلی
fidget کسمسانا
fifteen پندرہ
fifth پانچواں
fiftieth پچاسواں
fighter لڑاکا
filch چُرانا
fill بھرنا
filth گندگی
filthy غلیظ
filthy گندہ
filtration پالائش
final اخیر
final حتمی
finis خاتمہ
firm ٹھوس
firm مضبوط
fish مچھلی
fix ٹھہرانا
fix جمانا
flag پرچم
flail سانٹ
flame لپٹ
flat ہموار
flatulence نفخ
fledgling چینچلا
flexure خم
flow بہنا
flowing رواں
fluency روانی
fluid رواں
flutter لہرانا
fly مگس
foam جھاگ
foam پھین
foggy دُھندلا
folly حماقت
fondness شیفتگی
fool احمق
foolish احمقانہ
fop بانکا
force زور
force زبردستی
ford معبر
foreign اجنبی
foreign بیرونی
form شکل
formal رسمی
formal باضابطہ
formation ترتیب
fornicator زانی
fornicator زانیہ
fort کوٹ
fortnight پندرھواڑا
fortieth چالیسواں
founder بانی
fountain منبع
fourfold چوگنا
foxy چالاک
fragile پُھوٹک
fragrance مہک
frame بدن
frame ڈھانچا
freedom آزادی
frequently اکثر
freshness تازگی
friend دوست
friend رفیق
friend اپنا
friendly دوستانہ
friendship دوستی
frighten ڈرانا
frigid سرد
frilled سنجافی
frivolous اوچھا
frolic کھیل
from سے
from از
front پیشانی
froth پھین
fruit ثمر
full سیر
fun تفریح
fundamental اصلی
furl لپیٹنا
furore ہنگامہ
further آگے
further مزید
gain نفع
gain کمائی
gait چال
game بازی
gamut دائرہ
gap رخنہ
garden باغ
gardener باغبان
garlicky لہسنی
gasp ہانپنا
gate مدخل
gatekeeper دربان
gazette اخبار
general عام
generalization تعمیم
generation نسل
generosity سخاوت
genesis تکوین
genius عبقری
gentle شائستہ
get پانا
gharial گھڑیال
giddiness چکّر
gift داد
gigantic دیوپیکر
girl لڑکی
glisten چمکنا
glitter چمکنا
glitter دمک
globule گولی
glow تمتمانا
glow-worm جگنو
godly مذہبی
godown گودام
going رواں
goitre گھینگا
gold سونا
gold زر
gold-beater زرکوب
goodness بھلائی
goodness نیکی
goodwill ساکھ
gout گٹھیا
governor حاکم
gown عبا
gown چُغہ
grab ہتھیانا
gracile نازک
gradually بتدریج
gram چنا
grand بڑا
grand امیرانہ
grand کلاں
grandeur شان
grandmother جدّہ
graphic ترسیمی
grateful ممنون
grave گمبھیر
grave متین
gravel بجری
gravity سنجیدگی
graze رگڑ
great عظیم
greatness عظمت
greatness بُزرگی
greedy لالچی
green ہرا
green تازہ
greenness سبزی
greengrocer بقّال
grey کبرا
grind رگڑنا
grip پکڑ
gross موٹا
ground سبب
group جماعت
grow بڑھنا
guess اندازہ
habit عادت
hackneyed پامال
haft دستہ
haiku ہائیکو
halt وقفہ
handicapped معذور
handkerchief دستی
happening واقعہ
happy خوش
happy مگن
happiness شادمانی
hard سخت
hard کڑا
hard سنگین
hardness صلابت
hardness سختی
harmony آہنگ
harsh سخت
hashish حشیش
haste جلدی
hate نفرت
hatred نفرت
haughty مغرور
haughtiness گھمنڈ
haughtiness نخوت
havildar حوالدار
hazardous خطرناک
haze دُھند
head سربراہ
headship سرداری
heap انبار
hearsay افواہ
heat تپانا
heaven آسمان
heavy شدید
heavy گمبھیر
heavy وزنی
heed سُننا
height بلندی
heir وارث
heirless لاوارث
hell دوزخ
help مدد
helper یاور
helper مددگار
helplessness مجبوری
herd غول
here یہاں
heron پرکٹ
hiatus وقفہ
high بالا
high-handedness زبردستی
hilly کوہی
hindrance روک
hirsute جھبرا
hither یہاں
hold سنبھالنا
hole چھید
homeland وطن
hone سان
honey شہد
honour وقار
hope بھروسا
horde دل
horn شاخ
horse اسپ
hostility عداوت
hotchpotch ملغوبہ
house گھر
hubbub ہلچل
humiliation تذلیل
humiliation تحقیر
hybrid دوغلا
hydrophobia ہڑک
i انا
icy برفانی
identification شناخت
identify پہچاننا
idle خالی
ill خرابی
ill علیل
ill-assorted انمل
illiterate ناخواندہ
illumination تنویر
imaginary خیالی
imitation نقل
impede روکنا
imperialistic سامراجی
impersonation تلبیس
importance وزن
imprecation کوسنا
impression نقش
imprisonment اسیری
improve سنوارنا
impure نخالص
impurity آلودگی
in اندر
in در
inability معذوری
incarnation تجسیم
incite بھڑکانا
incitement ترغیب
income یافت
income آمدنی
income آمد
incoming آمد
inconstancy نااستواری
incorrect غلط
increase بڑھانا
indecent ناشائستہ
indecorous ناشائستہ
indeed یقیناً
indemnification تلافی
indisposed ماندہ
individual آدمی
individual شخص
inexpensive سستا
inexperienced ناآزمودہ
inexperienced خام
infamous بدنام
infamy بدنامی
infancy بچپن
inferiority کہتری
infinite لامحدود
infirm ناتواں
inflective تصریفی
inhabit بسنا
inheritor وارث
injury چوٹ
inn سرائے
innocent معصوم
insincere بناوٹی
insipidity پھیکاپن
installation تنصیب
instantaneously معاً
instruction تعلیم
insufficient ناکافی
insult ہتک
insurgent باغی
insurrection سرکشی
intellect عقل
intelligence فہم
intelligent ذہین
intelligent ہوشیار
intense شدید
intention غرض
interest سُود
interest فائدہ
interpreter ترجمان
intimate مانوس
intimidation ڈراوا
intimidation تخویف
into در
introductory تمہیدی
intumescence آماس
invasion چڑھائی
invasion حملہ
inversive معکوس
investigatory تفتیشی
irony طنز
irrigation آبیاری
island جزیرہ
issue مسئلہ
ivory عاج
jail جیل
jasmine چنبیلی
jealousy حسد
jerk جھٹکا
jewel نگینہ
joke لطیفہ
joke مذاق
jolt دھچکا
journalism صحافت
journalistic صحافتی
joy شادمانی
jubilee جشن
judgement رائے
judicial عدالتی
juice رس
juicy رسیلا
jump زقند
junk کباڑ
just بجا
jute سن
keen تیز
keeper رکھوالا
kettledrum دمدمہ
kidnapper مُغوی
kind شفیق
kind وضع
kindle جلانا
knitting بُنائی
knot بندھن
know جاننا
laboratory معمل
lacuna خلا
lakh لاکھ
lame لنگڑا
lameness لنگ
lampoon ہجو
lance بھالا
land زمین
lane گلی
language بھاشا
language بولی
large بڑا
last اخیر
lateness تاخیر
lathi لاٹھی
laugh ہنسنا
launderer دھوبی
law قاعدہ
lawlessness لاقانونیت
lawyer وکیل
lead رصاص
leaf برگ
leap زقند
leap چھلانگ
least اقل
leave چھوڑنا
leaven خمیر
left-handed کھبّا
legal قانونی
legislative قانونی
length لمبائی
lens عدسہ
leprosy کوڑھ
less کمتر
less کم
lessen گھٹانا
lest مبادا
lest کہیں
level ہموار
lick چاٹنا
lid ڈھکنا
life حیات
life جان
light جوت
light جلانا
light جھلکار
light چراغ
like طرح
likeness تصویر
likeness بھیس
liking رغبت
liking پسند
line لکیر
lining استر
linseed السی
liquid سیّال
liquid رقیق
lisper توتلا
literary ادبی
little چھوٹا
little ادنیٰ
littleness کوتاہی
littleness چھوٹائی
loaf روٹی
loan قرض
loathsome مکروہ
lobster کیکٹ
local مقامی
lock تالا
locust ملخ
locust جراد
logician منطقی
logical منطقی
lonely اکیلا
longing آرزو
longing تمنّا
look رنگ
look نظر
looking-glass آئینہ
loquat لوکاٹ
lord آقا
loss گھاٹا
loss ضرر
lot تقدیر
love چاہنا
lovey محبوب
low گھٹیا
lowness پستی
lower زیریں
lower اُتارنا
lucky بھاگوان
lump گومڑا
lunatic مجنوں
lust شہوت
lustre چمک
machine کل
machine مشین
machine جنتر
magician جادوگر
magus مجوسی
maidenhood دوشیزگی
main خاص
majesty دبدبہ
majesty جلالت
make بنانا
make وضع
malevolent بدخواہ
malice کپٹ
maltreatment بدسلوکی
manger کُھرلی
manger چرنی
mango آم
manhandle مارنا
manifest آشکار
manifesto منشور
manliness مردانگی
manner انداز
manner وضع
mantra منتر
manual دستی
many کئی
many-sided پہلودار
mare گھوڑی
marine سمندری
market ہاٹ
marriage شادی
marshy دلدلی
martial جنگی
massacre قتل
massager مالشیا
masseur مالشیا
master حاکم
masticate چبانا
mat چٹائی
match ثانی
material مادّی
matriarchal مادری
matrix سانچا
matter مواد
mature بالغ
maturity رسیدگی
mauve فالسئی
meal کھانا
mean پست
mean درمیانی
mean حقیر
mean گھٹیا
meaning معنی
meaning مطلب
means ذریعہ
measure ناپنا
mechanical مشینی
mediocre گھٹیا
medium وسیلہ
medium واسطہ
medley ملغوبہ
melancholia مالیخولیا
mellowness رسیدگی
mendicant فقیر
mercury پارہ
mercy رحم
mere محض
merely فقط
merino مرینا
messenger قاصد
mica ابرق
midday دوپہر
midwifery قبالت
migraine شقیقہ
mild ہلکا
mildness نرمی
military عسکری
milk لبن
mine میرا
mineral معدنی
minimum اقل
minister وزیر
minus منفی
mirage سراب
mirror آئینہ
mirth ہنسی
misappropriation غبن
mischief شرارت
mischief فساد
mischievous فسادی
miser بخیل
mislead بھٹکانا
misshapen بدہیئت
mistake غلطی
mistakenly سہواً
mixed مخلوط
mixture آمیزہ
moan آہ
moan کراہنا
mockery تضحیک
mode شان
modest شرمیلا
modification ترمیم
moistness نمی
moisture نمی
mollusc گھونگا
moment لمحہ
monasticism رہبانیت
monetary زری
monetization تسکیک
moneylender ساہوکار
mongoose نیولا
monkey بندر
monkey بُوزنہ
monthly ماہوار
moonlight چاندنی
more مزید
morphology شکلیات
mortal بشر
moss کائی
most اکثر
moth پتنگا
motherly مادرانہ
mould سانچا
mound ڈھیر
mound تودہ
mountain پربت
mountain پہاڑ
mouth دہانہ
mullah مُلّا
multi- کثیر
multitude انبوہ
mummify مومیانا
mummy ماں
munificence سخاوت
muscle عضلہ
musk مُشک
mute خاموش
mutineer باغی
mutinous باغیانہ
mutiny غدر
mutter بُدبُدانا
mutual باہمی
myrrh مُر
mystery بھید
mystery راز
naan نان
naivety سادگی
naked برہنہ
naked ننگا
naked عاری
nan نان
narration بیان
narrow پتلا
narrow تنگ
natural طبعی
natural اصلی
naughty شریر
nautch ناچ
nawab نواب
near پاس
near نزدیک
near قریب
nearness نزدیکی
nearly تقریباً
necklace مالا
need ضرورت
need حاجت
need چاہنا
needful ضروری
needle سوزن
negative منفی
neighbour پڑوسی
neighbour ہمسایہ
nerve رگ
net جالی
neurology اعصابیات
neutralization تعدیل
nevertheless تاہم
new اجنبی
niche طاق
niggardliness بخیلی
night رات
nitre شورہ
nobility شرافت
nobody ناکس
noise آواز
noise شور
noon دوپہر
nostril نتھنا
nothing ہیچ
notorious بدنام
novel نیا
now ابھی
nude برہنہ
nude ننگا
nudge ٹہوکا
nudity ننگاپن
numb سُن
numeral عددی
oasis نخلستان
obedient تابع
obese فربہ
obesity فربہی
object مقصد
objectivity معروضیت
objectivism معروضیت
obligation فرض
obsolete متروک
obstinate ہٹیلا
obstruction بندش
obtain پانا
obvious عیاں
occult مخفی
occupation دخل
ocean ساگر
ocean بحر
oceanography بحریات
odd عجیب
odour بُو
offer پیشکش
office دفتر
officer افسر
oil تیل
oil دُہن
ointment مرہم
on پر
oneness یگانگت
oneness وحدت
onlooker تماشائی
only فقط
only تنہا
open برملا
open کھولنا
open کُھلا
open باز
operate چلانا
opinion رائے
opposition تضاد
oppression جبر
oration تقریر
order فرمان
order ترتیب
organism نامیہ
originality بداعت
ornamental آرائشی
orphanhood یتیمی
orpiment ہرتال
ostensibly بظاہر
otherwise ورنہ
our ہمارا
out باہر
outer بیرونی
outlandish عجیب
outset آغاز
oversight سہو
own ماننا
pace گت
pakora پکوڑا
pal دوست
palpitation دھڑکن
pant ہانپنا
paper کاغذ
paralysis فالج
paramount فائق
participant شریک
partner ساجھی
partnership ساجھا
pasteboard ملٹ
patience صبر
patron سرپرست
patronage سرپرستی
pattern نمونہ
pauper نادار
pause وقفہ
pay تنخواہ
pear ناشپاتی
pearl مروارید
peculation غبن
peculiar انوکھا
pecuniary مالی
pen قلم
penal تعزیری
penalization تعزیر
penalty تعزیر
penniless نادار
penology تعزیریات
per فی
perforate چھیدنا
perfumer گندھی
perhaps شاید
perilous خطرناک
permission پروانگی
perpendicular کھڑا
perpendicular عمود
persian فارسی
person آدمی
person شخص
personal ذاتی
perspire پسیجنا
persuasion ترغیب
persuasion تشویق
pert شوخ
pet پالتو
petition عرضی
petty چھوٹا
petty ادنیٰ
pharmacopoeia قرابادین
pharmacy دواخانہ
phenomenon مظہر
philosopher فلسفی
philosophical حکیمانہ
philosophical فلسفیانہ
philosophy فلسفہ
phlebotomist فصّاد
phonation تصویت
physics طبیعیات
physiological فعلیاتی
physiology فعلیات
picture نقش
pill حب
pill گولی
pillar تھم
pimp بھڑوا
pincers سنسی
pit گڑھا
pitch رال
pith مغز
pity رحم
place جا
place مقام
plague وبال
plainness سادگی
plan خاکہ
plan تجویز
plant بونا
plate طشتری
plate رکابی
platter تھال
play کھیل
pleasure مرضی
plentifulness فراوانی
plough ہل
pluck نوچنا
plug ڈاٹ
point امر
point نوک
poison زہر
poison سم
poisonous زہریلا
polite شائستہ
politeness شائستگی
pollution آلودگی
pompous شاندار
pond جوہڑ
pony ٹٹّو
poor غریب
poor نادار
poppy کُوکنار
populace جمہور
popular مقبول
popularity مقبولیت
porcupine خارپشت
porter دربان
porter حمّال
porterage حمّالی
possession قبضہ
poverty ناداری
poverty غریبی
power بل
powerful طاقتور
practice معمول
praise تعریف
praise سراہنا
preamble تمہید
precept نصیحت
preference ترجیح
preferential ترجیحی
preliminary تمہیدی
preposterous لغو
presently ابھی
presidency صدارت
presidential صدارتی
prestige وقار
pretence بناوٹ
preventive مانع
priceless انمول
pride گھمنڈ
princely شاہانہ
principal خاص
principal بڑا
prism منشور
prison محبس
privacy تنہائی
private اپنا
problem مسئلہ
proceeding کارروائی
profession پیشہ
profit یافت
profit فائدہ
profit نفع
profound عمیق
promise عہد
promise وعدہ
prop اڑواڑ
prop سہارا
propaganda پرچار
prophecy کہانت
propitiate منانا
proposition مسئلہ
prosaic نثری
prose نثر
prosperity فراخی
prostitute طوائف
prostitute رنڈی
protect بچانا
protection امان
protuberance اُبھار
proverb کہاوت
publicity تشہیر
punishment سزا
punitive تعزیری
