اٹوٹ unbreakable
برطرفی discharge
برملا open
براہ via
برپا afoot
برتن utensil
برچھا spear
برخاستگی dismissal
برداشت tolerance
برفانی icy
برقناطیسی electromagnetic
برقی electrical
برقیہ electron
برگ leaf
برما borer
برنائی adolescent
برہنہ nude
برہنہ naked
بڑ boast
بڑا large
بڑا principal
بڑا grand
بڑھانا extend
بڑھانا add
بڑھانا increase
بڑھانا aggravate
بڑھانا augment
بڑھنا rise
بڑھنا grow
بڑھئی carpenter
بزدل timid
بزدل coward
بزدلانہ cowardly
بزدلی cowardice
بزدلی timidity
بُزرگی greatness
بس enough
بستر clothes
بسنا inhabit
بسنا dwell
بسنا reside
بشاشت cheerfulness
بشر mortal
بصری visual
بصیرت acumen
بصیرت discernment
بعد after
بعید distant
بغاوت revolt
بغاوت rebellion
بغل armpit
بقّال greengrocer
بکارت virginity
بکس box
بل power
بل twist
بل crook
بلّم spear
بلندی height
بلندی elevation
بلوا riot
بلوائی rioter
بلیدان sacrifice
بنانا shape
بنانا contrive
بنانا build
بنانا devise
بنانا make
بنانا fabricate
بناوٹ artificiality
بناوٹ affectation
بناوٹ pretence
بُناوٹ texture
بناوٹی insincere
بناوٹی affected
بناوٹی artificial
بُنائی knitting
بند fastening
بند closed
بندر monkey
بندش ban
بندش obstruction
بُندکی speck
بندوبست administration
بندہ slave
بندھن knot
بنڈل bundle
بنکارنا rant
بنکارنا rave
بننا feign
بنیان banyan
بُو odour
بوتل bottle
بوجھ weight
بوجھ burden
بُوزنہ monkey
بوسیدہ rotten
بولی language
بونا plant
بہادر valiant
بہادر brave
بہادری bravery
بہن sister
بہنا flow
بیان account
بیان narration
بیاہ wedding
بیٹا son
بیٹی daughter
بیرونی external
بیرونی outer
بیرونی foreign
بیگانہ alien
بیگم wife
بیوہ widow
بھاٹا ebb
بھاری weighty
بھاشا language
بھاگوان lucky
بھالا lance
بھائی brother
بھٹکانا mislead
بھٹکنا deviate
بھدّا clumsy
بھرتی recruitment
بھرنا fill
بھروسا hope
بھڑکانا incite
بھڑکیلا showy
بھڑوا pimp
بھگوڑا runaway
بھلائی goodness
بھنڈار storehouse
بھنور whirlpool
بھنور eddy
بھوگنا bear
بھونڈا awkward
بھی also
بھیجا brain
بھید mystery
بھیڑ sheep
بھیڑ ewe
بھیس likeness
پابندی restriction
پازیب anklet
پامال commonplace
پامال hackneyed
دیرپا durable
پاپ sin
پاپ crime
پاپا rusk
پاداش recompense
پار across
پارسا chaste
پارہ mercury
پارہ scrap
پاس near
پاسداری favour
پاک pure
پاکیزگی purity
پاکیزہ vestal
پالائش filtration
پالتو pet
پانا reach
پانا attain
پانا get
پانا obtain
پانچواں fifth
پائل anklet
پتلا weak
پتلا thin
پتلا narrow
پُتلی puppet
پتنگا moth
پتنگا spark
پتہ address
پچاسواں fiftieth
پچر wedge
پچھتانا rue
پذیرائی reception
پر at
پر on
پربت mountain
پرچار propaganda
پرچم ensign
پرچم flag
پردہ curtain
پرستار adorer
پرکٹ heron
پرندہ bird
پروانگی permission
پرہیز abstinence
پری fairy
پریشانی trouble
پڑوسی neighbour
پڑھائی study
پست abject
پست mean
پست down
پستی lowness
پسند liking
پسندیدہ favourite
پسیجنا perspire
پسینہ sweat
پکڑ grip
پکنا ripen
پکوڑا pakora
پگڑی turban
پلنگ bedstead
لڑکپن childhood
پناہ shelter
پنبہ cotton
پندرہ fifteen
پندرھواڑا fortnight
پنکھا punkah
پوست skin
پوشاک vestment
پوشیدگی concealment
پوشیدہ secret
پہاڑ mountain
پہچاننا identify
پہلودار many-sided
پہلوان wrestler
پہنچ reach
پہنچانا carry
پہنچانا convey
پہنچنا reach
پہننا wear
پہیلی conundrum
پیارا dear
پیارا darling
پیاس thirst
پیاسا thirsty
پیٹ abdomen
پیچاں convoluted
پیچیدگی complexity
پیچیدہ complex
پیڑ tree
پیشاب urine
پیشانی front
پیشانی brow
پیشتر before
پیشکش offer
پیشہ calling
پیشہ profession
پھٹنا rupture
پُھوٹک fragile
پھوک refuse
پھیکاپن insipidity
پھین froth
پھین foam
پھین scum
پھینکنا throw
تاہم yet
تاہم still
تاہم albeit
تاہم nevertheless
تابانی shine
تابع attendant
تابع obedient
تابکاری radioactivity
تاج crown
تاخیر delay
تاخیر lateness
تادیب chastisement
تارا star
تاریکی darkness
تازگی freshness
تازہ green
تاکنا stare
تالا lock
تالیف compilation
تانبا copper
تاوان ransom
تائب abstinent
تائید corroboration
تائید advocacy
تبخیر evaporation
تبدیلی alteration
تبر axe
تپانا heat
تجدید revival
تجدید renewal
تجربیت experimentalism
تجسیم incarnation
تجویز plan
تجویز suggestion
تحدید restriction
تحریر writing
تحریص temptation
تحقیر humiliation
تحلیل dissolution
تخفیف abatement
تخفیف diminution
تخلیق creation
تخمینہ appraisal
تخمینہ estimate
تخویف intimidation
تدبیر tactic
تذلیل humiliation
تذلیل degradation
تراشنا cut
ترانہ anthem
ترتیب compilation
ترتیب formation
ترتیب order
ترتیب arrangement
ترجمان interpreter
ترجمان spokesperson
ترجیح preference
ترجیحی preferential
تردید contradiction
تردید refutation
ترساں afraid
ترسانا tantalize
ترسیل transmission
ترسیمی graphic
ترغیب incitement
ترغیب persuasion
ترغیب bait
ترک abandonment
ترک relinquishment
ترکیب synthesis
ترکھان carpenter
ترمیم modification
ترمیم amendment
تڑپنا writhe
تزکیہ purification
تزئین adornment
تسکیک monetization
تسکین satisfaction
تسلیم salutation
تسہیل facilitation
تشاکُل symmetry
تشبیہہ simile
تشخیص assessment
تشریح exegesis
تشویش concern
تشویش apprehensiveness
تشویش anxiousness
تشویش worry
تشویق persuasion
تشہیر publicity
تصدیق corroboration
تصدیق affirmation
تصدیق certification
تصدیق verification
تصریفی inflective
تصویت phonation
تصویر likeness
تضاد contradiction
تضاد opposition
تضحیک mockery
تطہیر sanctification
تطہیر purification
تعاقب chase
تعاقب pursuit
تعدیل neutralization
تعریف admiration
تعریف praise
تعزیت condolence
تعزیر penalty
تعزیر penalization
تعزیری punitive
تعزیری penal
تعزیریات penology
تعظیم adoration
تعلیم instruction
تعمیر construction
تعمیل compliance
تعمیم universalization
تعمیم generalization
تعویذ talisman
تعویق delay
تغذیہ alimentation
تفتیشی investigatory
تفریح fun
تفریح diversion
تفریح entertainment
تفریح amusement
تفریح recreation
تفریحی recreational
تفریق subtraction
تفویض allotment
تفویض devolvement
تقدیر lot
تقدیر destiny
تقدیس consecration
تقریب ceremony
تقریباً almost
تقریباً approximately
تقریباً nearly
تقریر speech
تقریر oration
تقلیل reduction
تکان tiredness
تکرار altercation
تکریم respect
تکلیس calcination
تکمیل completion
تکنیک technique
تکوین genesis
تلاش search
تلاش quest
تلافی indemnification
تلبیس impersonation
تلچھٹ draff
تلخ bitter
تلخیص abstract
تلوار sword
تلوریا fencer
تِلّی spleen
تلے under
تماشا sight
تماشا show
تماشا spectacle
تماشا entertainment
تماشائی spectator
تماشائی onlooker
تمام complete
تمام all
تمتمانا glow
تمثیل drama
تمثیلی allegorical
تمثیلی analogical
تمنّا longing
تمہید preamble
تمہیدی preliminary
تمہیدی introductory
تنازعہ controversy
تنخواہ pay
تندہی diligence
تنسیخ revocation
تنسیخ abrogation
تنسیخ cancellation
تنصیب installation
تنصیف bisection
تنظیم arrangement
تنگ narrow
تنگ tight
تننا stretch
تنویر illumination
تنہا single
تنہا only
تنہائی privacy
توانائی energy
توتلا lisper
تودہ mound
توڑا shortage
توس toast
تولنا weigh
تونگر affluent
تہذیب civilization
تہی empty
تیرھواں thirteenth
تیز keen
تیز sharp
تیز clever
تیز adroit
تیز quick
تیزابیت acidity
تیزی swiftness
تیل oil
تھال platter
تھامنا stop
تھکانا fatigue
تھکاوٹ weariness
تھکن tiredness
تھکن fatigue
تھکنا tire
تھم column
تھم pillar
تھمنا cease
تھن udder
تھوپنا daub
تھور salinity
تھوڑا scanty
ٹٹّو pony
ٹٹیری sandpiper
ٹکّر collision
ٹنا clitoris
ٹہلنا stroll
ٹہلنا saunter
ٹہوکا nudge
ٹیڑھ crookedness
ٹیڑھا crooked
ٹینی tiny
ٹھٹھیرا brazier
ٹھٹھیرا tinner
ٹھس stupid
ٹھگ thug
ٹھنڈا dead
ٹھنڈک coolness
ٹھوس solid
ٹھوس firm
ٹھہرانا fix
ٹھہرنا stop
ثانوی second
ثانوی secondary
ثانی match
ثمر result
ثمر fruit
جا place
جانشینی succession
جادوگر magician
جادوگری witchcraft
جاڑا winter
جال trap
جالی net
جان life
جانچ assessment
جانچ appraisal
جانچ examination
جانچ trial
جانچنا test
جاننا know
جب when
جبر oppression
جبر compulsion
جبریت determinism
جداگانہ separate
جدول schedule
جدّہ grandmother
جذباتی sentimental
جذباتی emotional
جذبہ sentiment
جراد locust
جری brave
جزیرہ island
جست zinc
جست bound
جشن jubilee
جگنو glow-worm
جلال splendour
جلالت majesty
جلانا light
جلانا kindle
جلدی haste
جماعت group
جمال beauty
جمانا fix
جمانا set
جمہور populace
جمہوری democratic
جمہوریت democracy
جمہوریہ republic
جنتر appliance
جنتر machine
جنتری almanac
جنگل woodland
جنگلی savage
جنگلی wild
جنگی martial
جنگی warlike
جننا bear
جو who
جواب counterpart
جواب reply
جوابی retaliatory
جوان adult
جوت light
جوتشی astrologer
جوڑنا add
جوڑنا attach
جُوڑی ague
جوش ebullience
جوہڑ pond
جویا seeker
جہاں where
جہد exertion
جیل jail
جھاڑ chandelier
جھاڑی thicket
جھاگ foam
جھاگ scum
جھانجھ cymbal
جھبرا hirsute
جھبرا shaggy
جھٹکا jerk
جھگڑا squabble
جھلکار light
جھنڈی bunting
جھیلنا undergo
چاٹنا lick
چادر bedclothes
چاک chalk
چال tactic
چال gait
چالاک artful
چالاک foxy
چالاک canny
چالاک calculating
چالاک clever
چالاک sly
چالاک catty
چالاکی craftiness
چالاکی cleverness
چالیسواں fortieth
چاندنی moonlight
چاندی silver
چاہنا love
چاہنا need
چبانا masticate
چٹاخا crack
چٹائی mat
چٹخا cracked
چٹیل bleak
چراغ light
چُرانا filch
چربہ copy
چربہ tracing
چربی fat
چرخ carousel
چرنی manger
چرواہا shepherd
چڑھائی acclivity
چڑھائی invasion
چڑھنا rise
چُغہ gown
چکّر revolution
چکّر giddiness
چکّر wheel
چکرانا befog
چکرانا bedevil
چکلا whorehouse
چکلا wide
چکلان broadness
چکھنا taste
چلانا operate
چلن custom
چمک lustre
چمک shine
چمک sheen
چمکنا shine
چمکنا glisten
چمکنا glitter
چموٹا strop
چنا gram
چنبیلی jasmine
چند several
چوکور square
چوگنا fourfold
چوٹ stroke
چوٹ injury
چوٹی apex
چور thief
چوری theft
چُونی bran
چہکار warble
چہکار chirrup
چیچک smallpox
چیلا disciple
چینچلا fledgling
چھاتا umbrella
چھاتی breast
چھاتی bosom
چھاچھ buttermilk
چھانا roof
چھاننا sift
چھتّا arcade
چھتری umbrella
چھٹا sixth
چھڑا bachelor
چھکّا six
چھلانگ leap
چھلانگ spring
چھلاوا will-o'-the-wisp
چھلنی strainer
چھوٹا small
چھوٹا petty
چھوٹا little
چھوٹائی littleness
چھوٹائی smallness
چھوڑنا leave
چھوڑنا desert
چھوڑنا relinquish
چھوڑنا release
چھوڑنا discharge
چھید hole
چھیدنا perforate
چھیڑنا excite
چھینی chisel
حاجت need
حاکم governor
حاکم master
حالت state
حامی defender
حب pill
حتمی final
حتمی categorical
حجّام barber
حرارت warmth
حرارہ calorie
حرام unlawful
حسد envy
حسد jealousy
حشیش hashish
حق due
حقیر mean
حقیقت reality
حقیقی actual
حکم arbitrator
حکم command
حکیمانہ philosophical
حلقہ ring
حلقہ circle
حماقت folly
حماقت stupidity
حمّال porter
حمّالی porterage
حملہ attack
حملہ invasion
حوالدار havildar
حیات life
حیاتین vitamin
خاتمہ breakup
خاتمہ finis
خار thorn
خارپشت porcupine
خاص main
خاص principal
خاصا considerable
خاکہ plan
خاکہ sketch
خالی unoccupied
خالی empty
خالی vacant
خالی void
خالی idle
خام inexperienced
خاموش quiet
خاموش mute
خاموش silent
خاموشی silence
خامی fault
خاندان race
خباثت atrocity
خبردار cautious
خبرداری circumspection
خبرداری vigilance
خبیث wicked
خرابی trouble
خرابی ill
خرّاچ spendthrift
خراش scratch
خریدار buyer
خریدار purchaser
خریدنا purchase
خریدنا buy
خسارہ deficit
خستہ dilapidated
خسیس stingy
خط epistle
خطا wrongdoing
خطا fault
خطرناک perilous
خطرناک dangerous
خطرناک hazardous
خطرہ risk
خطرہ fear
خفگی displeasure
خفیف small
خُفیہ clandestine
خلا vacuum
خلا vacancy
خلا lacuna
خلل break
خلیق affable
خم flexure
خمیدہ askew
خمیر leaven
خمیر yeast
خندق ditch
خُنک chillsome
خواری disgrace
خواہر sister
خواہرانہ sisterly
خواہش desire
خود casque
خوش happy
خوشہ cluster
خول shell
خیال thought
خیال apprehension
خیالی visionary
خیالی fictitious
خیالی imaginary
خیالی unreal
داد applause
داد ringworm
داد gift
داڑھی beard
داشتہ concubine
داغ scar
داغ stain
دال dal
دام cost
دام value
داماد son-in-law
دانا sage
دانائی wisdom
دانت tooth
دانش wisdom
دائرہ gamut
دائمی everlasting
دبازت thickness
دبّاغ tanner
دبانا quell
دبانا compress
دبدبہ state
دبدبہ majesty
دبکنا shrink
دُبلا thin
دبیز thick
دخل occupation
در in
در into
دراڑ crack
درباری courtier
درجہ category
درجہ status
درخواست desire
درخواست application
درخواست appeal
درز cleft
درزی tailor
درسی curricular
درمیانی mean
دروازہ entrance
دریا river
دسترس access
دستہ haft
دستی manual
دستی handkerchief
دسواں tenth
دُشنام curse
دُشواری difficulty
دعویٰ claim
دفتر workplace
دفتر register
دفتر roll
دفتر office
دل horde
دلدل quagmire
دلدلی marshy
دلکش attractive
دم breath
دم spirit
دم vigour
دُم tail
دمدمہ kettledrum
دمک glitter
دمہ asthma
دنیاداری worldliness
دوبارہ again
دوا cure
دواخانہ pharmacy
دوام eternity
دوام everlasting
دوپہر midday
دوپہر noon
دُور distant
دُوری distance
دوزخ hell
دوست pal
دوست friend
دوستی friendship
دوستی amity
دوش shoulder
دوشیزگی maidenhood
دوشیزگی virginity
دوشیزہ virgin
دوشیزہ damsel
دوغلا hybrid
دونوں both
دہانہ mouth
دہانہ brink
دہائی decade
دہریت atheism
دہریہ atheist
دہشت terror
دہشت dread
دہلیز threshold
دُہن oil
دہی yogurt
دیر delay
دیس country
دین debt
دینا allow
دیوپیکر gigantic
دیہہ village
دیہاتی villager
دیہاتی rural
دیہی rural
دیہی rustic
دھاری streak
دھبّا stain
دھچکا jolt
دھرم faith
دھرن womb
دھڑا faction
دھڑکا fear
دھڑکن palpitation
دھکیلنا shove
دھکیلنا push
دھماکا blast
دھماکا explosion
دھمکانا threaten
دھمکی threat
دُھن air
دُھند haze
دھندا work
دُھندلا foggy
دُھندلا dim
دُھندلاہٹ dimness
دھنک rainbow
دھوبی launderer
دُھوپ sunlight
دھوکا deceit
دھونا wash
ڈاٹ plug
ڈاکو bandit
ڈانٹ rebuke
ڈانٹنا chide
ڈانٹنا rebuke
ڈانٹنا scold
ڈرانا scare
ڈرانا frighten
ڈراوا intimidation
ڈکار eructation
ڈنڈا club
ڈنڈا staff
ڈوری thread
ڈھانا destroy
ڈھانچا frame
ڈھکنا lid
ڈھلان declivity
ڈھیر mound
ذات substance
ذاتی personal
ذخیرہ store
ذریعہ means
ذریعہ agency
ذقن chin
ذکاوت wit
ذکی sharp
ذلالت baseness
ذلیل base
ذہین sagacious
ذہین intelligent
رات night
راج bricklayer
راز mystery
راز secret
راس cape
راس vertex
راست straight
راست right
راستہ way
راضی willing
راگ raga
رال resin
رال pitch
راوی relater
رائے opinion
رائے judgement
رائے vote
رُباعی quatrain
ربط relation
رپٹن slipperiness
رحم mercy
رحم pity
رُخ roc
رُخ face
رخنہ gap
ردوبدل alteration
رزمیہ epic
رس juice
رسائی reach
رسائی access
رسم custom
رسمی formal
رُسوائی disgrace
رُسوب sediment
رسیا addict
رسیدگی mellowness
رسیدگی maturity
رسیلا juicy
رسیلا succulent
رصاص lead
رضا consent
رعد thunder
رغبت liking
رغبت affection
رفاقت companionship
رفاقت association
رفاقت comradeship
رفتار velocity
رفیق friend
رقبہ area
رقص dance
رقیق thin
رقیق liquid
رکابی dish
رکابی plate
رکھنا set
رکھوالا keeper
رگ nerve
رگڑ graze
رگڑنا grind
رمز symbol
رمزیت symbolism
رنج sorrow
رنجیدگی chagrin
رنجیدہ sad
رنڈوا widower
رنڈی whore
رنڈی prostitute
رنگ colour
رنگ look
رنگنا colour
رنگین coloured
رنگین colourful
رُو face
رواداری tolerance
رواں fluid
رواں going
رواں flowing
روانگی dispatch
روانگی departure
روانی fluency
روٹی loaf
روٹی bread
روز day
روزگار employment
روک hindrance
روک bondage
روکنا impede
رُوکھا dry
روگ disease
رونا cry
رونا weep
رہبانیت monasticism
طشتری plate
ریت sand
ریسمان rope
ریشم silk
ریشمی silky
ریگ sand
ریگستان desert
رینگنا crawl
گڑھا pit
زانی adulterer
زانی fornicator
زانیہ fornicator
زاویہ angle
زائیدہ born
زبردستی force
زبردستی high-handedness
زچگی childbirth
زحمت trouble
زخم wound
زر gold
زرکوب gold-beater
زرد yellow
زرعی agrarian
زری monetary
زعفران saffron
زقند leap
زقند jump
زلزلہ earthquake
زمان time
زمین land
زن woman
زنانہ female
زنانہ feminine
زنبیل wallet
زوال fall
زور force
زور strength
زہر poison
زہریلا poisonous
زیر under
زیریں lower
ساتواں seventh
ساٹھواں sixtieth
ساجھا partnership
ساجھی partner
سادگی naivety
سادگی plainness
سادگی simplicity
سادہ simple
ساربان cameleer
سارا whole
سارنگی sarangi
ساکھ goodwill
ساگر ocean
ساگوان teak
سالا brother-in-law
سالانہ yearly
سالگرہ birthday
سامراجی imperialistic
سان whetstone
سان hone
سانٹ flail
سانچا mould
سانچا matrix
ساہوکار moneylender
سائل questioner
سائل applicant
سایہ shade
سبب cause
سبب ground
سبزی greenness
سبّل crowbar
ست essence
ست extract
سُتاری awl
ستانا annoy
سترھواں seventeenth
سجانا adorn
سجانا decorate
سچّا pure
سچّا truthful
سچّا sincere
سچّا true
سچّائی truth
سخاوت munificence
سخاوت generosity
سخت hard
سخت severe
سخت solid
سخت harsh
سختی rigidity
سختی strictness
سختی hardness
سدا ever
سر skull
سربراہ head
سرپرست patron
سرپرستی patronage
سرگرم diligent
سرگرم earnest
سرگوشی whisper
سُر tune
سراب mirage
سراسر wholly
سراہنا commend
سراہنا praise
سرائے inn
سرد frigid
سرد cold
سرداری headship
سرداری chieftainship
سرسری cursory
سُرسُری weevil
سرکشی insurrection
سرو cypress
سزا punishment
سستا inexpensive
سطحی shallow
سطحی superficial
سعی attempt
سفید white
سفیدی whitewash
سفیدی whiteness
سفیر ambassador
سکت stamina
سلام salute
سلطنت sultanate
سم poison
سماج society
سماوی celestial
سمائی room
سمجھانا explain
سمندر sea
سمندری marine
سن jute
سُن numb
سنا senna
سنبھالنا hold
سنتری sentry
سنجافی frilled
سنجیدگی gravity
سنجیدگی seriousness
سنجیدہ solemn
سنجیدہ sober
سنجیدہ serious
سنسنی sensation
سنسنی thrill
سنسی pincers
سنگ stone
سنگین hard
سُننا heed
سنوارنا improve
سنیچر saturday
سواری vehicle
سوانگ disguise
سُود interest
سوزن needle
سُوکھا dry
سولھواں sixteenth
سُونا empty
سونا gold
سونٹا cudgel
سہارا prop
سہل easy
سہل simple
سہو oversight
سہواً mistakenly
سہواً erroneously
سے from
سے with
سیّال liquid
سیر full
سیر seer
سیری satiety
شاخ horn
شادابی verdure
شادمان delighted
شادمانی happiness
شادمانی joy
شادی marriage
شاش urine
شاکی querulous
شال shawl
شام evening
شان mode
شان grandeur
شانتی tranquillity
شاندار pompous
شانہ comb
شاونیت chauvinism
شاہانہ princely
شاہانہ regal
شائستگی politeness
شائستہ refined
شائستہ polite
شائستہ gentle
شاید perhaps
شبد word
شبنم dew
شبنمی dewy
شخص person
شخص individual
شدید severe
شدید intense
شدید heavy
شرابی boozer
شرارت mischief
شرافت nobility
شرح rate
شرط bet
شرم shame
شرمیلا bashful
شرمیلا modest
شریان artery
شریر wicked
شریر naughty
شریک participant
شغل work
شفّاف transparent
شفیق affectionate
شفیق kind
شقیقہ migraine
شک suspicion
شکر sugar
شکل form
شکل face
شکلیات morphology
شمیم smell
شناخت identification
شنبہ saturday
شنکھ conch
شنگرف cinnabar
شوخ pert
شُودر sudra
شور noise
شور salt
شور clamour
شورہ nitre
شہ check
شہادت witness
شہادت testimony
شہد honey
شہری urban
شہنشاہ emperor
شہوت lust
شیفتگی fondness
صحیح exact
صحیح right
صحیح correct
صاف downright
صاف clear
صاف pure
صافہ turban
صبر patience
صحافت journalism
صحافتی journalistic
صحرا desert
صدارت presidency
صدارتی presidential
صداقت veracity
صداقت truth
صرع epilepsy
صرف expenditure
صفا cleanness
صفائی purity
صفائی smoothness
صفائی cleanness
صفرا bile
صفن scrotum
صلابت hardness
صندوق box
صوابدید discretion
ضبط restraint
ضبطی confiscation
ضخیم voluminous
ضرب stroke
ضرر loss
ضرر damage
ضرر detriment
ضرور absolutely
ضرور definitely
ضرورت need
ضروری needful
ضم assimilation
ضمیر conscience
ضمیمہ appendix
طاق niche
طاقتور powerful
طبعی natural
طبلہ tabla
طبیعت disposition
طبیعیات physics
طرح like
طرف side
طریقہ way
طعن scoff
طعن sneer
طعنہ taunt
طلب request
طمانیت satisfaction
طنّاز satirical
طنز irony
طنز sarcasm
طوائف courtesan
طوائف prostitute
طیّارہ aeroplane
ظرافت wit
ظرف receptacle
عاج ivory
عادت habit
عاری naked
عام general
عبا gown
عبقری genius
عجیب curious
عجیب odd
عجیب weird
عجیب queer
عجیب bizarre
عجیب strange
عجیب outlandish
عدالتی judicial
عداوت hostility
عدد digit
عددی numeral
عدسہ lens
عرض breadth
عرضی petition
عروس bride
عروسی bridal
عریس bridegroom
عزیز relation
عزیز relative
عسکری military
عُشر tithe
عصا staff
عضلہ muscle
عطا endowment
عظمت greatness
عظیم great
عفیف chaste
عقب rear
عقل intellect
عقل reason
عقلی rational
علامت symbol
علامتی symbolic
علیل ill
عمارت edifice
عمل action
عمل act
عمود perpendicular
عمیق profound
عمیم universal
عہد time
عہد promise
عہد vow
عیّار sly
عیّار crafty
عیّاری craftiness
عیاں obvious
غار cave
غار cavern
غالی extremist
غبغب dewlap
غبن misappropriation
غبن peculation
غبن embezzlement
غبی dunce
غبی dullard
غدّار treacherous
غدر mutiny
غرض intention
غرق absorbed
غریب poor
غریبی poverty
غشی swoon
غصب usurpation
غلط erroneous
غلط wrong
غلط false
غلط incorrect
غلطی mistake
غلیظ filthy
غنیم enemy
غوطہ dive
غول herd
فاتح conqueror
فارسی persian
فاطمی fatimid
فالج paralysis
فالسئی mauve
فائدہ profit
فائدہ interest
فائدہ benefit
فائدہ advantage
فائق paramount
فتح victory
فراخی prosperity
فراری absconder
فراریت escapism
فراواں abundant
فراوانی plentifulness
فربہ corpulent
فربہ obese
فربہ fat
فربہی obesity
فرج vulva
فرج vagina
فرد roll
فردا tomorrow
فرض obligation
فرضی fictitious
فرق distinction
فرق difference
فرمان order
فروخت sale
فرہنگ dictionary
فرہنگ vocabulary
فریادی complainant
فساد riot
فساد mischief
