سرو cypress
سلیس civilized
سلیس plain
سلیس straightforward
سلیس clear
سلیس agreeable
شد intensifying
شد emphasising
پرکاش diffusion
پرکاش light
پرکاش splendour
پرکاش elucidation
پرکاش shine
پرکاش disclosure
قالین carpet
قالین rug
نجاست dirt
نجاست filth
افزا adding
افزا increasing
افزا augmenting
آویزاں dangling
آویزاں suspended
پستی lowness
پستی backwardness
پستی fatigue
پستی inferiority
پستی tiredness
پستی baseness
گہوارہ cradle
ریشمی silken
ریشمی silky
آشا desire
آشا expectation
آشا hope
آشا longing
آشا wish
آشا confidence
صندوق box
صندوق chest
صندوق coffin
صندوق case
صندوق trunk
نمکین nut-brown
نمکین brackish
نمکین beautiful
نمکین saltish
نمکین handsome
نمکین saline
نمکین sarcastic
نمکین charming
نمکین salted
نمکین attractive
نمکین witty
تغییر alteration
تغییر change
تغییر changed
تغییر altered
بڑھنا rise
بڑھنا surpass
بڑھنا expand
بڑھنا grow
بڑھنا stretch
بڑھنا advance
بڑھنا prosper
بڑھنا increase
بڑھنا thrive
بڑھنا (grow)
بڑھنا proceed
بڑھنا accumulate
بڑھنا exceed
بڑھنا flourish
بڑھنا swell
باڑی cultivation
باڑی cotton-field
باڑی enclosure
باڑی plantation
باڑی abode
باڑی garden
باڑی residence
باڑی orchard
جولی fellow
جولی companion
جولی partner
گیان intelligence
گیان intellect
گیان knowledge
گیان wisdom
گیان understanding
چندرا miserable
چندرا wretch
چندرا poor
چندرا unfortunate
چاہت love
چاہت affection
چاہت fondness
چاہت desire
تبع follower
تبع adherent
پاکر tarpaulin
کارخانہ workshop
مسرور pleased
مسرور glad
مسرور delighted
مسرور happy
مسرور cheerful
ہانی loss
نظمی arranger
مہتاب moon
مہتاب moonlight
کمل lotus
موم tender
موم wax
موم soft
قبض receipt
قبض acknowledgement
قبض control
قبض constipation
قبض possession
قبض seizure
قبض tax
الحاد graves
یادگاری commemorative
یادگاری memorable
دھچکا loss
دھچکا jerk
دھچکا shock
دھچکا jolt
دھچکا damage
لیلا lamb
لیلا kid
عدن aden
عدن paradise
دھاوا raid
دھاوا assault
دھاوا attack
دھاوا invasion
سرکوبی punishment
لچک resilience
لچک flexibility
لچک suppleness
لچک buoyancy
لچک adaptability
لچک elasticity
علیٰ upon
علیٰ to
علیٰ above
علیٰ on
بسنت smallpox
بندھن marriage
بندھن homage
بندھن confinement
بندھن imprisonment
بندھن restraint
بندھن obeisance
بندھن ligament
بندھن captivity
بندھن fastening
بندھن handcuff
بندھن chain
بندھن etc.)
بندھن hindrance
بندھن obstacle
بندھن check
بندھن salutation
بندھن adoration
بندھن knot
بندھن praise
پیارا lovable
پیارا beloved
پیارا darling
پیارا favourite
پیارا charming
پیارا dear
پیارا son
پیارا pleasing
جداگانہ separately
جداگانہ different
جداگانہ separate
جسارت presumption
جسارت cheekiness
جسارت courage
جسارت daring
جسارت fearlessness
جسارت bravery
جسارت audacity
جسارت boldness
عاد factor
لڑنا wrangle
لڑنا fight
لڑنا wrestle
لڑنا contend
لڑنا etc.)
لڑنا quarrel
لڑنا agree
لڑنا squabble
بدبو stinky
بدبو stench
بدبو stink
شغف ardour
شغف liking
شغف enthusiasm
شغف fondness
شغف inclination
شغف interest
ڈول moving
ڈول swinging
ڈول rocking
بااختیار authorized
بااختیار powerful
ماتا smallpox
ماتا intoxicated
ماتا mother
لگام rein
لگام bridle
اوجھل seclusion
اوجھل invisible
اوجھل privacy
اوجھل hidden
اوجھل screened
اوجھل concealed
اوجھل concealment
بانڈ tailless
گال cheek
دبنگ uncouth
دبنگ uncivilized
دبنگ ugly
دبنگ bold
دبنگ ill-looking
دبنگ outspoken
دبنگ courageous
لامحدود unlimited
لامحدود immense
لامحدود infinite
قاصد messenger
قاصد letter-carrier
قاصد courier
قاصد envoy
قاصد traveller
قاصد cassid
مکین dweller
مکین resident
موٹا clear
موٹا obtuse
موٹا stout
موٹا dense
موٹا bulky
موٹا fat
موٹا foolish
موٹا manifest
موٹا obese
موٹا coarse
موٹا rich
موٹا thick
موٹا corpulent
موٹا plump
موٹا wealthy
موٹا big
موٹا gross
موٹا rough
شرارت playfulness
شرارت villainy
شرارت naughtiness
شرارت mischief
شرارت wickedness
شرارت prank
نفاق warmth
نفاق cordiality
ٹک sight
ٹک gaze
ٹک look
ٹک temper
ٹک stare
ٹک nature
ٹک disposition
کروشیا needlecraft
کروشیا needle
کروشیا crochet
بصارت perceiving
بصارت sight
بصارت understanding
بصارت insight
بصارت discerning
بصارت seeing
بصارت vision
سازگار supportive
سازگار favourable
سازگار helpful
سازگار agreeable
مشغلہ pastime
مشغلہ occupation
مشغلہ hobby
مشغلہ vocation
مشروب drinkable
مشروب drink
مشروب beverage
بھیجنا dispatch
بھیجنا send
بھیجنا transmit
بھیجنا remit
کھانسی coughing
کھانسی cough
تابعی follower
بیسیوں scores
بیسیوں many
کھوپڑی brains
کھوپڑی cranium
کھوپڑی head
کھوپڑی understanding
پُل bridge
پُل causeway
خریدنا purchase
خریدنا buy
کتبہ placard
کتبہ plaque
کتبہ inscription
کتبہ epitaph
کتبہ writing
اخیر last
اخیر consequently
اخیر end
اخیر lastly
اخیر finale
اخیر final
دعوتی guest
پرچار diffusion
پرچار currency
پرچار custom
پرچار promulgation
پرچار propaganda
پرچار preaching
پرچار propagation
وگرنہ otherwise
بھروسا trust
بھروسا assurance
بھروسا reliance
بھروسا hope
بھروسا faith
بھروسا confidence
برد winter
برد hail
برد chilliness
برد cold
برد coldness
دھڑکن palpitation
دھڑکن doubt
دھڑکن heartbeat
دھڑکن fear
چھن gravel
چھن instant
چھن moment
قناعت contentment
طلعت visage
طلعت appearance
طلعت face
طلعت countenance
ازل eternity
سرنگوں downcast
سرنگوں vanquished
پاش sprinkling
پاش spreading
پاش scattering
حجری rocky
حجری gritty
حجری stony
تمثیل similarity
تمثیل parable
تمثیل resemblance
تمثیل instance
تمثیل allegory
تمثیل similitude
تمثیل analogy
تمثیل comparison
تمثیل drama
تمثیل example
تمثیل play
بموجب by
بموجب on
اوٹ mask
اوٹ hide
اوٹ covert
اوٹ fence
اوٹ unseen
اوٹ hidden
اوٹ cover
اوٹ veil
عجمی alien
عجمی non-arab
عجمی foreign
چندی etc.
مشاہیر celebrities
ہمسائیگی neighbourship
رگڑ graze
رگڑ abrasion
رگڑ friction
رگڑ rubbing
حزم vigilance
حزم steadiness
حزم perseverance
حزم far-sightedness
حزم carefulness
حزم care
تگ flying
تگ rushing
تگ running
حواری friend
حواری launderer
حواری companion
حواری partisan
حواری white-faced
فرہنگ glossary
فرہنگ dictionary
فرہنگ sagacity
فرہنگ lexicon
فرہنگ vocabulary
فرہنگ wisdom
فرہنگ elegance
فرہنگ refinement
عجم dumb
پیشی hearing
پیشی presence
عروض prosody
خدوخال features
خدوخال appearance
چرا why
چرا wherefore
چرا pasturing
چرا pasture
بلیغ comprehensive
بلیغ meaningful
بلیغ articulate
بلیغ eloquent
کُچھ few
کُچھ something
کُچھ anything
کُچھ any
کُچھ some
کُچھ whatever
سرکش rebellious
سرکش obstinate
سرکش headstrong
تکذیب contradiction
تکذیب belying
پرور supporter
پرور patron
پرور nourisher
پرور cherisher
اِدھر near
اِدھر here
اِدھر now
اِدھر during
اِدھر close
خول shell
خول sheath
خول case
خول cover
خول skeleton
دہلیز threshold
دہلیز beginning
دہلیز commencement
دہلیز place
دہلیز cite
دہلیز vestibule
الجبرا algebra
ٹال deferment
ٹال etc.
ٹال grass
ٹال evasion
صباح morning
صباح daybreak
صباح dawn
وجد ecstasy
وجد frenzy
وجد rapture
تذلیل abasement
تذلیل degradation
تذلیل humiliation
تذلیل disgrace
تذلیل indignity
کمسن young
بیلی protector
بیلی preserver
بیلی companion
بیلی supporter
لامتناہی limitless
لامتناہی immense
لامتناہی uncountable
لامتناہی infinite
پڑوس vicinity
پڑوس neighbourhood
چھری thin
چھری slender
چھری lithe
ناپ measure
ناپ measurement
ندامت self-reproach
ندامت shame
ندامت regret
ندامت repentance
حضر home
حضر resting
لاجواب unparalleled
لاجواب matchless
لاجواب peerless
ارضیات geology
بغل side
بغل aside
بغل flank
بغل embrace
بغل armpit
ترجیحی preferential
سرچشمہ spring
سرچشمہ fountain
سرچشمہ origin
سرچشمہ source
سرچشمہ fountainhead
سرچشمہ fount
بڑائی brag
بڑائی bigness
بڑائی regard
بڑائی greatness
بڑائی volume
بڑائی seniority
بڑائی respect
بڑائی largeness
بڑائی magnanimity
بڑائی applause
بڑائی boast
بڑائی extent
بڑائی praise
سویا sleeping
سویا slept
سویا asleep
سویا fennel
کھینچا stretched
پگڑی individual
پگڑی person
پگڑی puggaree
پگڑی turban
اِک one
احزاب groups
احزاب parties
تول weight
زیبا proper
زیبا graceful
زیبا becoming
زیبا befitting
زنانہ feminine
زنانہ effeminate
زنانہ harem
زنانہ wife
زنانہ zenana
زنانہ female
زنانہ womanish
زنانہ seraglio
خانگی personal
خانگی internal
خانگی domesticated
خانگی tame
خانگی familial
خانگی household
خانگی private
خانگی domestic
ہُوا was
ہُوا became
ہُوا happened
معرض occurrence
معرض occasion
معرض contingency
معرض field
شاپ curse
درباری courtier
یوگی ascetic
یوگی hermit
یوگی yogi
کھاتی carpenter
مشینی mechanical
پالا power
پالا clutch
پالا frost
پالا entanglement
پالا coagulation
پالا nourished
پالا change
پالا grass
پالا encounter
پالا dealing
پالا protection
کٹھن difficult
کٹھن troublesome
کٹھن hard
قدیر powerful
بیشی surplus
بیشی increase
بیشی excess
بادام almond
سوراج autonomy
سوراج self-governance
سوراج independence
جلالی divine
جلالی terrible
جلالی glorious
جلالی majestic
جلالی great
جلالی awful
جلالی illustrious
بدلی substitution
بدلی cloudiness
بدلی transfer
بدلی cloud
دھڑ firmly
دھڑ direction
دھڑ stout
دھڑ firm
دھڑ hard
دھڑ tightly
دھڑ severe
دھڑ furious
دھڑ side
دھڑ party
دھڑ excessive
دھڑ thump
دھڑ face
دھڑ strong
دھڑ violently
دھڑ fearlessly
دھڑ intense
دھڑ group
دھڑ compact
دھڑ fierce
دھڑ decidedly
دھڑ solid
دھڑ noisily
دھڑ torso
دھڑ violent
دھڑ thud
دھڑ bump
ٹھنڈک pacification
ٹھنڈک comfort
ٹھنڈک solace
ٹھنڈک satisfaction
ٹھنڈک coolness
ٹھنڈک coldness
کثیف opaque
کثیف impure
کثیف dense
کثیف unclean
چھاڑ alluvium
چھاڑ shrub
چھاڑ bush
چھاڑ abandonment
چھاڑ plant
چھاڑ leaving
جوتا tilled
جوتا boundary
جوتا ploughed
جوتا cultivator
جوتا ploughman
جوتا farmer
مالدار wealthy
مالدار rich
مالدار affluent
بام eel
بام balcony
بام fathom
دوہرا couplet
دوہرا double
رافع exalting
رافع raising
رافع raiser
رافع exalter
رافع elevating
ناٹک pantomime
ناٹک comedy
ناٹک theatre
ناٹک drama
ناٹک play
جگ people
جگ masses
جگ public
جگ world
جگ feast
جگ universe
جگ others
بھار burden
بھار trust
بھار charge
بھار responsibility
بھار weight
بھار load
عقیق cornelian
شبانہ nocturnal
شبانہ nightly
اموا mango
منانا invoke
منانا propitiate
منانا coax
منانا cajole
منانا wheedle
منانا celebrate
منانا soothe
منانا persuade
منانا appease
منانا commemorate
منانا conciliate
انتھک untiring
معدنی mineral
کوائف particulars
باجماعت congregational
گورا white
سہیلی handmaid
دوائی medicine
باہو arm
گاہے often
گاہے sometimes
کروٹ manner
کروٹ alteration
کروٹ state
کروٹ etc.
کروٹ condition
کروٹ revolution
کروٹ mood
تھل site
تھل desert
تھل group
تھل spot
تھل ford
تھل multitude
تھل place
تھل heap
تھل land
تھل mound
تھل herd
انتہاپسندی extremism
آشکار known
آشکار manifest
آشکار disclosed
آشکار visible
آشکار revealed
آشکار apparent
آشکار evident
آشکار clear
چاٹ penchant
چاٹ chickpeas
چاٹ etc.
چاٹ lick
چاٹ relish
چاٹ peas
چاٹ habit
چاٹ taste
چاٹ desire
چاٹ flavour
چاٹ addiction
چاٹ chaat
چاٹ longing
نعم cattle
نعم yes
غرب west
خطیر dignified
خطیر large
خطیر great
خطیر noble
سماں state
سماں condition
سماں time
سماں view
سماں festivity
سماں goodtime
سماں weather
سماں merriment
سماں occasion
سماں season
سماں scene
سماں activity
سماں atmosphere
سماں bustle
پروانہ warrant
پروانہ permit
پروانہ letter
پروانہ lover
پروانہ servant
پروانہ licence
خلع displacement
خلع escape
خلع renunciation
معمور cultivated
معمور populous
معمور delightful
معمور inhabited
معمور prosperous
پسپا repulsed
پسپا defeated
جنا begot
جنا person
جنا offspring
جنا son
جنا born
جنا individual
جنا begotten
قبیل group
قبیل sort
قبیل category
قبیل kind
بدنامی disgrace
بدنامی ignominy
بدنامی infamy
بدنامی scandal
بدنامی stigma
بدنامی disrepute
شرق shining
شرق light
حشرات hum
حشرات uproar
حشرات tumult
حشرات din
دایاں etc.)
دایاں side
طلبی demand
طلبی summons
ناپسندیدہ disliked
ناپسندیدہ offensive
ناپسندیدہ unacceptable
ناپسندیدہ rejected
ناپسندیدہ disagreeable
ناپسندیدہ undesirable
گودام store
گودام warehouse
گودام godown
آبدوز submarine
آبدوز u-boat
گڑھا abyss
گڑھا stomach
گڑھا hole
گڑھا (pit)
گڑھا grave
گڑھا pit
گڑھا cavity
گڑھا ditch
گڑھا belly
دوہری double
متین strong
متین solid
متین grave
متین serious
سلب divesting
سلب denial
سلب absence
سلب end
سلب negation
سلب seizure
باغبانی gardening
ہمشیرہ sister
بھولا undesigning
بھولا artless
بھولا guileless
بھولا innocent
بھولا naive
بھولا simple
مسیحا messiah
مسیحا physician
مسیحا healer
مسیحا doctor
بیوقوف ignorant
بیوقوف fool
بیوقوف foolish
عرفہ eid-ul-azha
نفسانی carnal
نفسانی lustful
نفسانی sensual
نفسانی lewd
حقیقتاً really
رجعت return
رجعت retracing
رجعت retrogression
رجعت resurrection
رجعت retraction
یاسمین jasmine
تلخیص abstract
تلخیص precis
تلخیص summary
تلخیص abridgement
بہاری vernal
تفرقہ division
تفرقہ discord
تفرقہ dissension
تفرقہ separation
تفرقہ dispersion
بھرت padding
بھرت mimic
بھرت stuffing
بھرت actor
بھرت drama
بھرت filling
بھرت masque
بھرت play
مکئی maize
مکئی corn
کارفرما superintendent
کارفرما authority
کارفرما controller
کارفرما ruler
ڈھنگ manner
ڈھنگ art
ڈھنگ method
ڈھنگ behaviour
ڈھنگ plan
پاٹ board
پاٹ slab
پاٹ silk
پاٹ vessel
پاٹ tablet
پاٹ lesson
پاٹ pot
پاٹ millstone
پاٹ throne
پاٹ plank
پاٹ perusal
کسب whoring
کسب earning
کسب gain
کسب struggle
کسب endeavour
کسب prostitution
جمل camel
جمل dromedary
جمل couple
جمل pair
جمل brace
فرنگی european
ازلی perpetual
ازلی eternal
محکوم subject
محکوم slave
محکوم subordinate
محکوم servant
چرس marijuana
چرس clamp
چرس pot
چرس prison
صحارا deserts
ظن conjecture
ظن suspicion
ظن impression
ظن thought
پتلا watery
پتلا feeble
پتلا diluted
پتلا thin
پتلا weak
پتلا fine
پتلا delicate
پتلا lean
پتلا narrow
پتلا slender
شوخ lover
شوخ irreverent
شوخ daring
شوخ bold
شوخ playful
شوخ naughty
شوخ pert
شاذ seldom
شاذ rare
شاذ uncommon
شاذ irregular
شاذ rarely
مساعی efforts
مساعی endeavours
مانوس friend
مانوس associate
مانوس companion
مانوس attached
مانوس well-known
مانوس associated
مانوس friendly
مانوس intimate
پولی simpleton
رونمائی etc.)
رویا wept
کمتر less
گھن bell
گھن mint
گھن sky
گھن gong
گھن clouds
گھن cymbal
گھن anvil
گھن full
گھن coin
گھن compact
گھن hammar
گھن sledge
گھن dense
گھن heavy
نقلی false
نقلی artificial
نقلی spurious
نقلی transmitted
نقلی fictitious
نقلی counterfeit
تیغ épée
تیغ foil
تیغ sword
سہو inattention
سہو neglect
سہو oversight
سہو omission
سہو negligence
ذوالقرنین bicornuous
بلاغت rhetoric
بلاغت eloquence
کاٹنا sever
کاٹنا dissect
کاٹنا bite
کاٹنا delete
کاٹنا clip
کاٹنا sting
کاٹنا etc.)
کاٹنا cut
انمول inestimable
انمول priceless
انمول invaluable
بیلا time
بیلا cup
بیلا opportunity
بیلا period
ردیف etc.)
ردیف camel
ثلاثہ trilateral
ثلاثہ three
گٹھ knot
گٹھ tie
ہاٹ market
ہاٹ bazaar
حماقت folly
حماقت stupidity
حماقت foolishness
قہر power
قہر fiery
قہر curse
قہر conquering
قہر oppression
قہر anger
قہر wrath
قہر rage
قہر force
قہر fury
قہر passionate
قہر calamity
قہر violence
قہر subduing
مخطوطہ manuscript
شریان artery
ارفع superior
ارفع highest
ہتھیلی metacarpus
بانجھ sterile
نشیب slope
نشیب descent
نشیب declivity
مہاراج superior
وقعت dignity
وقعت regard
وقعت importance
وقعت respect
وقعت force
وقعت weight
کنول lotus
کنول heart
فسانہ fable
فسانہ story
بھینٹ interview
بھینٹ encounter
بھینٹ bribe
بھینٹ introduction
بھینٹ sacrifice
بھینٹ visit
خرگوش rabbit
خرگوش hare
خرگوش bunny
گندھارا gandhara
چر island
چر islet
چر etc.
چھڑ shaft
چھڑ staff
چھڑ rod
چھڑ bar
چھڑ pole
بلبل tumult
تصفیہ purgation
تصفیہ decision
تصفیہ purification
تصفیہ reconciliation
تصفیہ rapprochement
تصفیہ adjustment
تصفیہ disposal
آسکتی sluggish
آسکتی lazy
اُم foundation
اُم mother
اُم origin
اُم source
انبوہ multitude
انبوہ crowd
انبوہ mob
انبوہ abundance
ناروا inappropriate
ناروا inadmissible
ناروا unsuited
ناروا unlawful
ناروا improper
ناروا incorrect
گھیرا fence
گھیرا circle
گھیرا siege
گھیرا circumference
دبائو power
دبائو influence
دبائو pressure
دبائو restraint
دبائو constraint
دبائو awe
دبائو authority
طنزیہ sarcastic
طنزیہ satirical
کچرا refuse
کچرا sediment
کچرا waste
کچرا garbage
کچرا dirt
کچرا rubbish
افواہ rumour
افواہ mouths
افواہ gossip
افواہ hearsay
نوی modern
نوی new
نوی fresh
نوی recent
صفوان stones
صفوان rocks
علانیہ openly
علانیہ publicly
علانیہ manifest
علانیہ open
خامی fault
خامی rawness
خامی failing
خامی unripeness
خامی defect
خامی blemish
خامی infirmity
خامی weakness
خامی imperfection
خامی immaturity
خامی flaw
خامی deficiency
خامی inexperience
متاع assets
متاع property
متاع possessions
سلامی slope
سلامی salutation
سلامی incline
تضحیک mockery
تضحیک mocking
تضحیک ridicule
تضحیک derision
سلیقہ dexterity
سلیقہ taste
سلیقہ decorum
سلیقہ knack
سلیقہ decency
وبائی epidemic
وبائی pestilent
دستگیر guide
دستگیر helper
ادرک ginger
خر stubborn
خر stupid
خر foolish
خر ass
خر ill-tempered
ملیح beautiful
ملیح saltish
ملیح charming
ریگستان desert
چنار poplar
ارتھ significance
ارتھ interpretation
ارتھ meaning
برقناطیسی electromagnetic
آتشزدگی burning
تمہید adjustment
تمہید management
تمہید introduction
تمہید preamble
تمہید preface
تمہید arrangement
اقارب kin
اقارب kinsfolk
اقارب relatives
اقارب kindred
تکریم civility
تکریم reverence
تکریم honour
تکریم respect
تمغہ diploma
تمغہ medal
تمغہ decoration
رادھا love
رادھا success
مفقود missing
مفقود extinct
مفقود lacking
مفقود lost
مفقود wanting
ہلاکو hulagu
ہلاکو killer
ہلاکو ruffian
ہلاکو deadly
ہلاکو murderer
ہلاکو destructive
اقصیٰ farther
اقصیٰ extreme
اقصیٰ furthest
پیل push
پیل plenty
پیل shove
پیل abundance
برات order
برات payment
برات bill
برات multitude
برات ordinance
برات acquittal
برات crowd
برات discharge
کارواں caravan
فرمانبرداری allegiance
فرمانبرداری subordination
فرمانبرداری vassalage
فرمانبرداری obedience
چالان remittance
چالان pass
چالان challan
منگلا bard
منگلا musician
منگلا singer
منگلا minstrel
سہن tolerance
سہن bearing
سہن patience
سہن suffering
ناد sound
ناد roar
ناد song
قریہ village
روتا weeping
روتا sad
روتا grieved
وعید admonition
کھنڈ division
کھنڈ quarter
کھنڈ part
کھنڈ etc.)
کھنڈ region
کھنڈ district
کھنڈ portion
کھنڈ province
کھنڈ section
کھنڈ piece
کٹا deducted
کٹا deduction
کٹا killed
کٹا slaughtered
کٹا crossed
کٹا killing
کٹا snapped
کٹا cutting
روپوش absconder
روپوش hidden
قرن aeon
قرن generation
قرن bugle
سیم bean
سیم water-logging
نزاکت softness
نزاکت neatness
نزاکت delicacy
نزاکت elegance
لاپتا lost
یکسوئی devotion
اذکار tales
اذکار stories
یکایک suddenly
یکایک immediately
بدری wrapper
بدری packet
بدری bale
بدری cloud
بدری cover
بختیار lucky
بیچا sold
بیچا seller
بیچا vendor
ماما maidservant
ماما mother
نادان ignorant
نادان simple
نادان foolish
مراسم usages
مراسم regulations
مراسم relations
مراسم rules
مراسم customs
مراسم dealings
کنیز slavey
کنیز maidservant
کنیز slave-girl
کنیز handmaid
صفایا ruin
صفایا pillage
صفایا plunder
صفایا annihilation
صفایا devastation
بدیع inventor
بدیع wonderful
بدیع innovator
بدیع rare
بدیع novel
بدیع extraordinary
ریشہ fibre
ریشہ filament
ریشہ nerve
بکھری cottage
بکھری house
بکھری hut
دریائی recommendation
پاسبان guide
پاسبان shepherd
پاسبان watchman
پاسبان sentinel
پاسبان guard
شربت sherbet
قرابت affinity
قرابت relationship
قرابت relation
قرابت kindred
قرابت nearness
نبرد battle
نبرد contest
نبرد war
نبرد engagement
فاقہ starvation
سپاٹ innocent
سپاٹ naive
سپاٹ unaffected
سپاٹ flat
سپاٹ smooth
سرایت penetration
سرایت absorption
موچی saddler
موچی shoemaker
موچی mochi
موچی cobbler
طعنہ taunt
طعنہ blame
واری sacrificed
اگنی fire
وصی guardian
وصی administrator
