گانا sing
ہانپنا gasp
ہانپنا pant
ہائیکو haiku
ہتک insult
ہتھیانا seize
ہتھیانا grab
ہٹ stubbornness
ہٹیلا stubborn
ہٹیلا obstinate
ہجو lampoon
ہجو satire
ہدف target
ہذیانی delirious
ہرا green
ہرانا defeat
ہرتال orpiment
ہڑک hydrophobia
ہڑک rabies
ہڑواڑ cinerarium
ہزار thousand
ہفتہ saturday
ہکلا stammerer
ہکلانا stammer
ہل plough
ہلچل hubbub
ہلچل stir
ہلدی turmeric
ہلکا mild
ہلکا delicate
ہلکا soft
ہمارا our
ہمدرد sympathetic
ہمسایہ neighbour
ہمسر equal
ہموار smooth
ہموار flat
ہموار level
ہموار equable
ہموار even
ہمیشہ always
ہمیشہ ever
ہنس swan
ہنسنا laugh
ہنسوڑ facetious
ہنسی mirth
ہنگامہ furore
ہنگامہ tumult
ہنگامہ turmoil
ہوا air
ہوائی airy
ہوشیار clever
ہوشیار alert
ہوشیار intelligent
ہوشیاری wisdom
ہوشیاری cleverness
ہیچ nothing
یادگار remembrance
یادگاری commemorative
یافت profit
یافت income
یاور helper
یتیمی orphanhood
یخنی soup
یشب agate
یقین faith
یقیناً certainly
یقیناً definitely
یقیناً indeed
یقینی sure
یقینی certain
یکتا unique
یکساں equal
یکسانیت uniformity
یگانگت oneness
یگانہ unique
یہاں here
یہاں hither
